,id,speed_early,speed_late
2750,00000ABD,0.704103381,0.721838659
2751,00000ABE,0.633035089,0.631933734
2752,00000ABF,0.621973479,0.629176522
2753,00000AC0,0.622469021,0.63962616
2754,00000AC1,0.615214089,0.637238547
2755,00000AC2,0.613027834,0.633882665
2756,00000AC3,0.610722919,0.622701738
2757,00000AC4,0.650446149,0.623742792
2758,00000AC5,0.614738847,0.626693623
2759,00000AC6,0.613432156,0.644057054
2760,00000AC7,0.636172796,0.634306169
2761,00000AC8,0.535017231,0.534330204
2762,00000AC9,0.551574977,0.536817931
2763,00000ACA,0.542900665,0.548747241
2764,00000ACB,0.541469838,0.54325483
2765,00000ACC,0.544450923,0.528999504
2766,00000ACD,0.541336874,0.540338472
2767,00000ACE,0.521410239,0.542791573
2768,00000ACF,0.540790081,0.551274266
2769,00000AD0,0.542397726,0.549231048
2770,00000AD1,0.546096801,0.54714076
2771,00000AD2,0.434542589,0.452396121
2772,00000AD3,0.430993426,0.443967517
2773,00000AD4,0.40538468,0.447768816
2774,00000AD5,0.4458338,0.440539504
2775,00000AD6,0.415607929,0.448639899
2776,00000AD7,0.462853757,0.442525297
2777,00000AD8,0.435518843,0.447517562
2778,00000AD9,0.423964288,0.448139648
2779,00000ADA,0.421328661,0.441043616
2780,00000ADB,0.43363774,0.444989693
2781,00000ADC,0.35482692,0.339264451
2782,00000ADD,0.350972076,0.341210856
2783,00000ADE,0.33333922,0.3455675
2784,00000ADF,0.34021783,0.341749978
2785,00000AE0,0.316457956,0.34764483
2786,00000AE1,0.345083357,0.343354195
2787,00000AE2,0.340442025,0.341781019
2788,00000AE3,0.340687089,0.349091172
2789,00000AE4,0.325518211,0.341924435
2790,00000AE5,0.339497745,0.342608773
2791,00000AE6,0.220007795,0.223431535
2792,00000AE7,0.215488957,0.226311475
2793,00000AE8,0.226104339,0.226423861
2794,00000AE9,0.205926923,0.22729067
2795,00000AEA,0.209012984,0.220693634
2796,00000AEB,0.217689256,0.221890658
2797,00000AEC,0.21467566,0.219719724
2798,00000AED,0.216947728,0.227246862
2799,00000AEE,0.235157304,0.228597589
2800,00000AEF,0.2230393,0.2180549
2801,00000AF0,2.487856379,2.478404947
2802,00000AF1,2.51323828,2.502171913
2803,00000AF2,2.460612893,2.511521407
2804,00000AF3,2.507818331,2.503028824
2805,00000AF4,2.472780877,2.498320814
2806,00000AF5,2.427646049,2.479257441
2807,00000AF6,2.45495139,2.470517888
